section,subset,rung,rung_index,alpha,FCR,FCR_ci_low,FCR_ci_high,FCR_count,FCR_denominator,coverage,coverage_ci_low,coverage_ci_high,coverage_count,coverage_denominator,known_positive_recall,known_positive_recall_ci_low,known_positive_recall_ci_high,known_positive_recall_count,known_positive_recall_denominator
gate_ladder,FULL,exec_only,0.0,,0.3793103448275862,0.20686869948650707,0.5773953593355988,11,29,0.5636363636363636,0.4232166489552772,0.6969631247222952,31,55,1.0,0.7150858470818455,1.0,11,11
gate_ladder,FULL,+confound,1.0,,0.10344827586206896,0.021863736829853642,0.2735151978924229,3,29,0.41818181818181815,0.2865452452489992,0.5589415894230065,23,55,1.0,0.7150858470818455,1.0,11,11
gate_ladder,FULL,+power,2.0,,0.10344827586206896,0.021863736829853642,0.2735151978924229,3,29,0.41818181818181815,0.2865452452489992,0.5589415894230065,23,55,1.0,0.7150858470818455,1.0,11,11
gate_ladder,FULL,+multiverse,3.0,,0.10344827586206896,0.021863736829853642,0.2735151978924229,3,29,0.4,0.270228870445315,0.54092743606844,22,55,1.0,0.7150858470818455,1.0,11,11
gate_ladder,FULL,+replication,4.0,,0.0,0.0,0.11944486906950269,0,29,0.3090909090909091,0.19144641143362157,0.44812974534377453,17,55,1.0,0.7150858470818455,1.0,11,11
risk_coverage,FULL,alpha=0.1,,0.1,0.0,0.0,0.11944486906950269,0,29,0.3090909090909091,0.19144641143362157,0.44812974534377453,17,55,1.0,0.7150858470818455,1.0,11,11
risk_coverage,FULL,alpha=0.05,,0.05,0.0,0.0,0.11944486906950269,0,29,0.3090909090909091,0.19144641143362157,0.44812974534377453,17,55,1.0,0.7150858470818455,1.0,11,11
risk_coverage,FULL,alpha=0.01,,0.01,0.0,0.0,0.11944486906950269,0,29,0.3090909090909091,0.19144641143362157,0.44812974534377453,17,55,1.0,0.7150858470818455,1.0,11,11
gate_ladder,MAIN,exec_only,0.0,,0.4074074074074074,0.2238972913505814,0.6120160697403181,11,27,0.575,0.4089005804269633,0.7295709687311371,23,40,1.0,0.6915028921812392,1.0,10,10
gate_ladder,MAIN,+confound,1.0,,0.1111111111111111,0.02352745438085398,0.291586924273552,3,27,0.375,0.2272627224818259,0.541985247767389,15,40,1.0,0.6915028921812392,1.0,10,10
gate_ladder,MAIN,+power,2.0,,0.1111111111111111,0.02352745438085398,0.291586924273552,3,27,0.375,0.2272627224818259,0.541985247767389,15,40,1.0,0.6915028921812392,1.0,10,10
gate_ladder,MAIN,+multiverse,3.0,,0.1111111111111111,0.02352745438085398,0.291586924273552,3,27,0.375,0.2272627224818259,0.541985247767389,15,40,1.0,0.6915028921812392,1.0,10,10
gate_ladder,MAIN,+replication,4.0,,0.0,0.0,0.12770286761543234,0,27,0.3,0.1656272043932356,0.4653162852541234,12,40,1.0,0.6915028921812392,1.0,10,10
risk_coverage,MAIN,alpha=0.1,,0.1,0.0,0.0,0.12770286761543234,0,27,0.3,0.1656272043932356,0.4653162852541234,12,40,1.0,0.6915028921812392,1.0,10,10
risk_coverage,MAIN,alpha=0.05,,0.05,0.0,0.0,0.12770286761543234,0,27,0.3,0.1656272043932356,0.4653162852541234,12,40,1.0,0.6915028921812392,1.0,10,10
risk_coverage,MAIN,alpha=0.01,,0.01,0.0,0.0,0.12770286761543234,0,27,0.3,0.1656272043932356,0.4653162852541234,12,40,1.0,0.6915028921812392,1.0,10,10
