cohort,rows,columns,feature_columns,out_path,descriptor_summaries
ABCD,10391,203,190,data/prepared_data/fmri_descriptors/ABCD.parquet,"[{'family': 'fc', 'rows': 19407, 'features': 84, 'matched_rows_before': 10391, 'matched_nonnull_any': 10391}, {'family': 'region', 'rows': 18837, 'features': 76, 'matched_rows_before': 10391, 'matched_nonnull_any': 10391}, {'family': 'dyno', 'rows': 18837, 'features': 30, 'matched_rows_before': 10391, 'matched_nonnull_any': 10391}]"
HCP,1079,94,84,data/prepared_data/fmri_descriptors/HCP.parquet,"[{'family': 'fc', 'rows': 1079, 'features': 84, 'matched_rows_before': 1079, 'matched_nonnull_any': 1079}, {'family': 'region', 'rows': 1079, 'features': 0, 'matched_rows_before': 1079, 'matched_nonnull_any': 0}, {'family': 'dyno', 'rows': 833, 'features': 0, 'matched_rows_before': 1079, 'matched_nonnull_any': 0}]"
HCP_Aging,632,96,84,data/prepared_data/fmri_descriptors/HCP_Aging.parquet,"[{'family': 'fc', 'rows': 725, 'features': 84, 'matched_rows_before': 632, 'matched_nonnull_any': 632}, {'family': 'region', 'rows': 725, 'features': 0, 'matched_rows_before': 632, 'matched_nonnull_any': 0}, {'family': 'dyno', 'rows': 725, 'features': 0, 'matched_rows_before': 632, 'matched_nonnull_any': 0}]"
UKB,39291,201,190,data/prepared_data/fmri_descriptors/UKB.parquet,"[{'family': 'fc', 'rows': 39304, 'features': 84, 'matched_rows_before': 39291, 'matched_nonnull_any': 39291}, {'family': 'region', 'rows': 39304, 'features': 76, 'matched_rows_before': 39291, 'matched_nonnull_any': 39291}, {'family': 'dyno', 'rows': 39304, 'features': 30, 'matched_rows_before': 39291, 'matched_nonnull_any': 39291}]"
ADNI_fMRI,1280,201,190,data/prepared_data/fmri_descriptors/ADNI_fMRI.parquet,"[{'family': 'fc', 'rows': 1283, 'features': 84, 'matched_rows_before': 1280, 'matched_nonnull_any': 1280}, {'family': 'region', 'rows': 1280, 'features': 76, 'matched_rows_before': 1280, 'matched_nonnull_any': 1280}, {'family': 'dyno', 'rows': 1167, 'features': 30, 'matched_rows_before': 1280, 'matched_nonnull_any': 1165}]"
OASIS3_fMRI,913,202,190,data/prepared_data/fmri_descriptors/OASIS3_fMRI.parquet,"[{'family': 'fc', 'rows': 913, 'features': 84, 'matched_rows_before': 913, 'matched_nonnull_any': 913}, {'family': 'region', 'rows': 913, 'features': 76, 'matched_rows_before': 913, 'matched_nonnull_any': 913}, {'family': 'dyno', 'rows': 913, 'features': 30, 'matched_rows_before': 913, 'matched_nonnull_any': 913}]"
ABIDE2,1114,94,84,data/prepared_data/fmri_descriptors/ABIDE2.parquet,"[{'family': 'fc', 'rows': 1113, 'features': 84, 'matched_rows_before': 1114, 'matched_nonnull_any': 772}, {'family': 'region', 'rows': 1113, 'features': 0, 'matched_rows_before': 1114, 'matched_nonnull_any': 0}, {'family': 'dyno', 'rows': 419, 'features': 0, 'matched_rows_before': 1114, 'matched_nonnull_any': 0}]"
ADHD200,624,199,190,data/prepared_data/fmri_descriptors/ADHD200.parquet,"[{'family': 'fc', 'rows': 619, 'features': 84, 'matched_rows_before': 624, 'matched_nonnull_any': 619}, {'family': 'region', 'rows': 549, 'features': 76, 'matched_rows_before': 624, 'matched_nonnull_any': 549}, {'family': 'dyno', 'rows': 507, 'features': 30, 'matched_rows_before': 624, 'matched_nonnull_any': 507}]"
