claim_id,label_class,outcome,contrast,expected_sign,n_disc_case,n_disc_control,n_rep_case,n_rep_control,beta,p,std_effect,achieved_power,under_powered,multiverse_consistent,replication_passed,replication_reason,final_label,confirmation_subtype,baseline_significant,rationale
random_entorhinal_s202,random_null,smri_entorhinal,case vs control,two_sided,107,119,470,461,-0.2890997574281328,0.006707837409570579,-0.22847964245329458,0.9943081798163874,False,1.0,False,non_replicated_effect_absent,non_replicated,,True,Failed gates: replication; replication=non_replicated_effect_absent
random_parahippocampal_s202,random_null,smri_parahippocampal,case vs control,two_sided,107,119,470,461,0.06501192007623992,0.4375805025345293,0.1225634611388091,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_midtemporal_s202,random_null,smri_midtemporal,case vs control,two_sided,107,119,469,461,-0.20913739764846773,0.4742440010812331,-0.024560012501223017,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_inferiortemporal_s202,random_null,smri_inferiortemporal,case vs control,two_sided,106,117,470,460,-0.18602522683741063,0.47383755426216345,-0.01800258843789505,0.9937996365025729,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_fusiform_s202,random_null,smri_fusiform,case vs control,two_sided,107,119,469,461,0.07777282860768372,0.7396664430323002,0.07043689868228312,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_lateralventricle_s202,random_null,smri_lateralventricle,case vs control,two_sided,107,119,470,461,-0.264688825737731,0.8856252206784675,-0.013719455095709317,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_wholebrain_s202,random_null,smri_wholebrain,case vs control,two_sided,107,119,470,461,-1.8554851201936646,0.6373053675702052,0.036605587726080774,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_pericalcarine_s202,random_null,smri_pericalcarine,case vs control,two_sided,107,119,470,461,-0.09005086491154593,0.5244854365133644,-0.04620201960707981,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_precentral_s202,random_null,smri_precentral,case vs control,two_sided,107,119,469,461,-0.5331931256014506,0.12474754440769581,-0.10461523843718866,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_postcentral_s202,random_null,smri_postcentral,case vs control,two_sided,107,116,470,460,-0.34763650897091414,0.21882666374240617,-0.04840017125474951,0.9937996365025729,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_paracentral_s202,random_null,smri_paracentral,case vs control,two_sided,107,119,470,461,-0.18083483626025126,0.27958428678045355,-0.0636745130979106,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_cuneus_s202,random_null,smri_cuneus,case vs control,two_sided,107,119,470,461,-0.1157611902094913,0.4981049885835872,-0.04083929227302475,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
random_cerebellum_s202,random_null,smri_cerebellum,case vs control,two_sided,107,119,470,460,-6.286951512817794,0.06441267346894508,-0.011128627594283114,0.9943081798163874,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
